Genot,Temp,Family,meangr
P4448,20,O,2.29078468191647
P4448,25,O,3.23180534655093
P4448,30,O,4.35720294426919
P4448,35,O,4.88045260770975
P4448,37.5,O,4.10780381553252
P4448,40,O,2.74807051737481
P4451,20,O,2.3984579492432
P4451,25,O,2.97001251849323
P4451,30,O,3.72677882930249
P4451,35,O,4.39474938661059
P4451,37.5,O,3.878899404136
P4451,40,O,2.58765790372141
P4452,20,O,2.37315921526582
P4452,25,O,3.08868517766603
P4452,30,O,3.6577637574483
P4452,35,O,3.39782684893095
P4452,37.5,O,3.1715485205441
P4452,40,O,2.20099766802526
P4457,20,O,2.41012290884261
P4457,25,O,3.36049650487524
P4457,30,O,4.76791383219955
P4457,35,O,5.09101133786848
P4457,37.5,O,4.93907845804989
P4457,40,O,3.63532202888972
P4459,20,O,2.51342892909981
P4459,25,O,3.32130252886458
P4459,30,O,4.5437641723356
P4459,35,O,4.82183854875284
P4459,37.5,O,4.09078163336838
P4459,40,O,3.12964073683557
P4463,20,O,1.40834755889382
P4463,25,O,1.85390349379766
P4463,30,O,1.50409696142028
P4463,35,O,1.39409070217367
P4463,37.5,O,1.37657903721407
P4463,40,O,1.24623022647092
P4468,20,O,2.20560202571981
P4468,25,O,2.99146466370775
P4468,30,O,4.02386961093586
P4468,35,O,4.53684807256236
P4468,37.5,O,3.80224325271644
P4468,40,O,2.22351200637305
P4471,20,O,2.42692329577785
P4471,25,O,3.27094142943954
P4471,30,O,4.64795918367347
P4471,35,O,4.88406802721089
P4471,37.5,O,4.07157378198388
P4471,40,O,2.67661948208309
P4472,20,O,2.17370831910777
P4472,25,O,2.70955673153522
P4472,30,O,3.3600833234905
P4472,35,O,3.95103399929898
P4472,37.5,O,3.09270605861015
P4472,40,O,2.80182371685444
P4479,20,O,2.12383350404006
P4479,25,O,2.90439000796631
P4479,30,O,3.82225727304592
P4479,35,O,4.92006893424036
P4479,37.5,O,4.31159860368964
P4479,40,O,3.31366959659101
P4486,20,O,1.96480936663727
P4486,25,O,2.75704347438986
P4486,30,O,3.06363290101514
P4486,35,O,3.70608514106076
P4486,37.5,O,2.73729657448503
P4486,40,O,2.50569022419483
P4496,20,O,2.11418146124957
P4496,25,O,3.03436772753747
P4496,30,O,3.67914475990186
P4496,35,O,4.63163265306122
P4496,37.5,O,4.1335436382755
P4496,40,O,2.68494651189257
X10881,20,O,2.21173007246377
X10881,25,O,3.20603083088309
X10881,30,O,4.08673245614035
X10881,35,O,4.68732009211284
X10881,37.5,O,4.47679093567251
X10881,40,O,3.00660650761904
X10882,20,O,2.18070652173913
X10882,25,O,2.84734934436189
X10882,30,O,3.46222222222222
X10882,35,O,3.61573238935764
X10882,37.5,O,3.51138888888889
X10882,40,O,2.16976751207729
X10883,20,O,2.33922101449275
X10883,25,O,3.36850600600601
X10883,30,O,4.28399122807018
X10883,35,O,4.83333333333333
X10883,37.5,O,3.71860380116959
X10883,40,O,1.9981884057971
X10884,20,O,2.07835144927536
X10884,25,O,2.65238035070618
X10884,30,O,3.3475
X10884,35,O,3.86744172494172
X10884,37.5,O,3.755
X10884,40,O,2.82259476273037
X10885,20,O,2.31544384057971
X10885,25,O,3.24114882895996
X10885,30,O,3.95609649122807
X10885,35,O,4.68038073038073
X10885,37.5,O,4.17854532163743
X10885,40,O,2.67290204512456
X10886,20,O,2.28623188405797
X10886,25,O,3.18447455607782
X10886,30,O,4.06972222222222
X10886,35,O,4.28590643274854
X10886,37.5,O,3.36655662241189
X10886,40,O,2.48369565217391
X10887,20,O,2.16191123188406
X10887,25,O,3.05814171839135
X10887,30,O,4.04225877192983
X10887,35,O,4.81440399357634
X10887,37.5,O,4.42123538011696
X10887,40,O,3.20941611102073
X10888,20,O,2.21399456521739
X10888,25,O,3.24174174174174
X10888,30,O,4.04798976608187
X10888,35,O,4.57598684210526
X10888,37.5,O,3.56393274853801
X10888,40,O,2.39809782608696
X10889,20,O,2.34352355072464
X10889,25,O,3.39107357357357
X10889,30,O,4.25619939271255
X10889,35,O,4.64009502923977
X10889,37.5,O,3.88634502923977
X10889,40,O,2.81693922183053
X10890,20,O,2.28147644927536
X10890,25,O,3.18820382882883
X10890,30,O,4.20973684210526
X10890,35,O,4.68245614035088
X10890,37.5,O,3.94134502923977
X10890,40,O,2.93129814597206
X10891,20,O,2.21059782608696
X10891,25,O,3.04081951528612
X10891,30,O,3.98472222222222
X10891,35,O,4.47211870731608
X10891,37.5,O,4.1281432748538
X10891,40,O,2.81863949559831
X10892,20,O,2.15307971014493
X10892,25,O,2.88313172769478
X10892,30,O,3.52472222222222
X10892,35,O,4.04611013986014
X10892,37.5,O,3.88333333333333
X10892,40,O,2.53532197795807
X10893,20,O,2.16032608695652
X10893,25,O,3.22139598837968
X10893,30,O,4.08525584795322
X10893,35,O,4.45266812865497
X10893,37.5,O,4.13792397660819
X10893,40,O,2.56861413043478
X10894,20,O,2.2888134057971
X10894,25,O,3.18097597597598
X10894,30,O,4.37701023391813
X10894,35,O,4.63333333333333
X10894,37.5,O,4.40361111111111
X10894,40,O,3.14550120772947
X10895,20,O,2.29461050724638
X10895,25,O,3.26228228228228
X10895,30,O,4.1374269005848
X10895,35,O,4.64184941520468
X10895,37.5,O,3.9893932748538
X10895,40,O,3.02779409844627
X10896,20,O,1.99365942028985
X10896,25,O,2.9190851678431
X10896,30,O,4.08763157894737
X10896,35,O,4.55082326299431
X10896,37.5,O,4.22916666666667
X10896,40,O,2.90175044167035
X10897,20,O,2.11186594202899
X10897,25,O,2.81308179862241
X10897,30,O,3.39305555555556
X10897,35,O,3.38729754630977
