Block,Temp,Family,Genotype,tindex,GCham,Replicate,t1,t2,t3,t4,t5,t6,t7,t8,Genot
4,20,O,847,55,6,2,0,17.5,51,71,111,127,160.5,178,X847
7,20,O,847,55,3,3,0,16,50.5,69.5,110,127.5,162,180,X847
1,20,O,847,55,2,1,0,14.5,49.5,68.5,105.5,125,161.5,180.5,X847
4,25,O,847,55,5,2,0,26.5,71.5,110,166,190.5,NA,NA,X847
7,25,O,847,56,6,3,0,18,78,105,154,177,223.5,NA,X847
1,25,O,847,55,4,1,0,25,82,107.5,157,179.5,228.5,NA,X847
4,30,O,847,55,4,2,0,38,106,139.5,202,NA,NA,NA,X847
7,30,O,847,55,2,3,0,32,103.5,134.5,192,217.5,NA,NA,X847
1,30,O,847,55,1,1,0,32,98.5,129,187,212,NA,NA,X847
4,35,O,847,55,3,2,0,41,111,147.5,215,NA,NA,NA,X847
7,35,O,847,56,5,3,0,28,112,148.5,NA,NA,NA,NA,X847
1,35,O,847,55,6,1,0,34,116,147.5,209,NA,NA,NA,X847
4,37.5,O,847,55,2,2,0,37.5,116,151,215.5,NA,NA,NA,X847
7,37.5,O,847,55,1,3,0,34.5,114.5,149,213.5,NA,NA,NA,X847
1,37.5,O,847,55,3,1,0,35,113,143,203,NA,NA,NA,X847
4,40,O,847,55,1,2,0,26.5,85,115.5,179,207.5,NA,NA,X847
7,40,O,847,56,4,3,0,16.5,70,97,146.5,169,202.5,221,X847
1,40,O,847,55,5,1,0,24.5,78.5,106.5,157.5,179.5,220,236.5,X847
3,20,O,851,55,6,1,0,13.5,50,68,109,128,166.5,184,X851
6,20,O,851,55,6,2,0,15,52.5,73,111,129.5,166,183,X851
9,20,O,851,55,3,3,0,7,33,51,90,107,141.5,157,X851
2,25,O,851,55,4,1,0,24.5,82.5,110.5,162.5,188.5,NA,NA,X851
6,25,O,851,55,5,2,0,25,83,111.5,162,189,NA,NA,X851
9,25,O,851,55,6,3,0,23,79,105.5,155,180,227.5,NA,X851
3,30,O,851,55,5,1,0,33.5,106,134.5,193,NA,NA,NA,X851
6,30,O,851,55,4,2,0,35,105.5,136.5,193,NA,NA,NA,X851
9,30,O,851,55,2,3,0,34.5,105,135,190,218,NA,NA,X851
2,35,O,851,55,6,1,0,34.5,107.5,135,192.5,NA,NA,NA,X851
6,35,O,851,55,3,2,0,34.5,108,138.5,197.5,NA,NA,NA,X851
9,35,O,851,55,5,3,0,37.5,109.5,139,197.5,NA,NA,NA,X851
3,37.5,O,851,55,4,1,0,22.5,78.5,101.5,148.5,168.5,209.5,227,X851
6,37.5,O,851,55,2,2,0,29,90.5,119.5,167,189,NA,NA,X851
9,37.5,O,851,55,1,3,0,30.5,95,123.5,170.5,194.5,NA,NA,X851
2,40,O,851,55,5,1,0,15.5,54,75,116.5,137,171.5,186.5,X851
6,40,O,851,55,1,2,0,16.5,63,86.5,131,152,192,209,X851
9,40,O,851,55,4,3,NA,0,14,28.5,65,78.5,113,128.5,X851
3,20,O,1131,55,6,1,0,15.5,57.5,78.5,121.5,142,180,199,X1131
5,20,O,1131,55,6,2,0,16.5,58,78.5,124.5,144,179.5,199,X1131
8,20,O,1131,55,3,3,0,16,55,73.5,116.5,136,176,193,X1131
2,25,O,1131,55,4,1,0,27.5,89,119,175.5,200.5,NA,NA,X1131
5,25,O,1131,55,5,2,0,27.5,90,122.5,184,209,NA,NA,X1131
8,25,O,1131,55,6,3,0,27.5,90.5,120,179.5,206,NA,NA,X1131
3,30,O,1131,55,5,1,0,38,117.5,151.5,212,NA,NA,NA,X1131
5,30,O,1131,55,4,2,0,40,120.5,155,214.5,NA,NA,NA,X1131
8,30,O,1131,55,2,3,0,38.5,116.5,148.5,210.5,NA,NA,NA,X1131
2,35,O,1131,55,6,1,0,36,115,146.5,211,NA,NA,NA,X1131
5,35,O,1131,55,3,2,0,41,121.5,157,NA,NA,NA,NA,X1131
8,35,O,1131,55,5,3,0,41,117.5,149,210.5,NA,NA,NA,X1131
3,37.5,O,1131,55,4,1,0,35.5,107.5,139.5,199,NA,NA,NA,X1131
5,37.5,O,1131,55,2,2,0,42,112,145.5,209,NA,NA,NA,X1131
8,37.5,O,1131,55,1,3,0,30.5,93.5,123.5,178,200,NA,NA,X1131
2,40,O,1131,55,5,1,0,22,77.5,103.5,154,174.5,220.5,238,X1131
5,40,O,1131,55,1,2,0,40,78,104.5,158.5,180.5,227,NA,X1131
8,40,O,1131,55,4,3,0,12.5,62.5,82,122,139.5,166.5,175.5,X1131
3,20,O,1132,55,6,1,0,17,54.5,74,113,132,170.5,188.5,X1132
6,20,O,1132,55,6,2,0,15,54.5,75,117.5,139.5,181,199.5,X1132
9,20,O,1132,55,3,3,0,16,51.5,70,110.5,130.5,169.5,188,X1132
2,25,O,1132,55,4,1,0,29.5,91.5,120.5,171,197.5,NA,NA,X1132
6,25,O,1132,55,5,2,0,27.5,84,113.5,166,191,239.5,NA,X1132
9,25,O,1132,55,6,3,0,26.5,85,113.5,167,193,NA,NA,X1132
3,30,O,1132,55,5,1,0,32.5,107,141.5,200.5,223.5,NA,NA,X1132
6,30,O,1132,55,4,2,NA,NA,0,37,112.5,142,197,219.5,X1132
